name,source,gender,wikidata,type
"Albertina Sisulubrug",wikidata,F,Q467744,way
Aleydispad,wikidata,F,Q100452254,way
"Alice Béviairepad",wikidata,F,Q69575062,way
"Alijt Bakehof",wikidata,F,Q19680805,way
"Amanda Foketstraat",wikidata,F,Q77582580,way
"Amelia Earhartlaan",wikidata,F,Q3355,way
"Annie Vande Wielebrug",wikidata,F,Q19947772,way
"Antoinette Vandeputtepad",wikidata,F,Q104547669,way
"Augusta De Taeyepad",wikidata,F,Q106726851,way
"Benazir Bhuttostraat",wikidata,F,Q34413,way
"Bertha Boonantsstraat",wikidata,F,Q98735587,way
"Bertha De Vriesestraat",wikidata,F,Q21517776,way
"Berthe Springaelstraat",wikidata,F,Q69574659,way
"Cécile Cautermanstraat",wikidata,F,Q18562298,way
"Cecile Vereeckenstraat",wikidata,F,Q98497143,way
"Celine Dangottestraat",wikidata,F,Q47514867,way
"Chantal Claeysdreef",wikidata,F,Q69581962,way
"Charlotte Despardstraat",wikidata,F,Q432717,way
"Christine D'haenhof",wikidata,F,Q3224383,way
"Denise De Weerdtpad",wikidata,F,Q21539795,way
"Edith Cavellstraat",wikidata,F,Q237564,way
"Eliane Vogel-Polskypad",wikidata,F,Q50348436,way
"Elisabeth Drorypad",wikidata,F,Q98593388,way
"Elise Grandprezstraat",wikidata,F,Q98735968,way
"Elsa Guyssenspad",wikidata,F,Q98594552,way
"Elza Darcielstraat",wikidata,F,Q3051713,way
"Emilie Schattemanstraat",wikidata,F,Q98754860,way
"Emilienne Colepad",wikidata,F,Q98594701,way
"Euphrasie Verbrugghepad",wikidata,F,Q98538755,way
"Frieda Saeysstraat",wikidata,F,Q22350893,way
"Gatti de Gamondstraat",wikidata,F,Q2407913,way
"Gerty Corihof",wikidata,F,Q204733,way
"Gravin Johannastraat",wikidata,F,Q466311,way
"Hannah Arendtstraat",wikidata,F,Q60025,way
"Hélène Mallebranckestraat",wikidata,F,Q98314987,way
"Helene Marechalhof",wikidata,F,Q2180738,way
"Henriette Casierpad",wikidata,F,Q124463464,way
"Hilda Daneelsstraat",wikidata,F,Q19953867,way
"Homa Darabistraat",wikidata,F,Q165488,way
"Huguette Ingelaerestraat",wikidata,F,Q2775402,way
"Irène Joliotstraat",wikidata,F,Q7504,way
"Irma Lozinstraat",wikidata,F,Q77579767,way
"Isabella Van Oostenrijkstraat",wikidata,F,Q157884,way
"Isala Van Dieststraat",wikidata,F,Q2551409,way
"Ivonna Nevejanstraat",wikidata,F,Q2907465,way
"Jeanne Nowéstraat",wikidata,F,Q76466643,way
"Jeanne Pipynstraat",wikidata,F,Q98546226,way
"Jeanne Vignerystraat",wikidata,F,Q15434583,way
"Jenny Montignypad",wikidata,F,Q2120094,way
"Jenny Tanghestraat",wikidata,F,Q2554568,way
"Jenny Walrystraat",wikidata,F,Q69572549,way
"Josepha Goethalsstraat",wikidata,F,Q98754150,way
"Julienne De Plupad",wikidata,F,Q100278092,way
"Julienne De Vetterstraat",wikidata,F,Q99521484,way
"Koningin Astridlaan",wikidata,F,Q230238,way
"Koningin Elisabethlaan",wikidata,F,Q235186,way
"Koningin Fabiolalaan",wikidata,F,Q231171,way
"Koningin Maria Hendrikaplein",wikidata,F,Q234047,way
"Koningin Mathildeplein",wikidata,F,Q94334,way
"Koningin Paolaplein",wikidata,F,Q31129,way
"Leonie Rammeloostraat",wikidata,F,Q98735049,way
"Leontine Vervlietpad",wikidata,F,Q98594666,way
"Lily Boeykensstraat",wikidata,F,Q2780641,way
"Louisa d'Havébrug",wikidata,F,Q81975746,way
"Louise Derachestraat",wikidata,F,Q98734666,way
"Lucienne Herman-Michielsensstraat",wikidata,F,Q2210215,way
"Mabel Elwespad",wikidata,F,Q77983246,way
"Madeleine Schauvliegestraat",wikidata,F,Q76882196,way
"Mai Zetterlingstraat",wikidata,F,Q236656,way
"Marcella van Hoeckestraat",wikidata,F,Q94422250,way
"Marcelle Defay-Wibierstraat",wikidata,F,Q76883315,way
"Marguerite Legotstraat",wikidata,F,Q436758,way
"Maria Baersstraat",wikidata,F,Q3290883,way
"Maria van Boergondiëstraat",wikidata,F,Q157073,way
Maria-Theresiastraat,wikidata,F,Q131706,way
"Marie Curiestraat",wikidata,F,Q7186,way
"Marie Mineurstraat",wikidata,F,Q88211310,way
"Marie Pollstraat",wikidata,F,Q98446728,way
"Marie Popelinkaai",wikidata,F,Q2627259,way
"Marie Sassepad",wikidata,F,Q4499874,way
"Marie Schellinckstraat",wikidata,F,Q2817220,way
"Marie-Jeanne Boelenspad",wikidata,F,Q124516029,way
"Marie-Thérèse de Courtebournelaan",wikidata,F,Q98807807,way
"Martha Anthonisstraat",wikidata,F,Q98398345,way
"Martha Grypstraat",wikidata,F,Q98446694,way
"Marthe Versichelenstraat",wikidata,F,Q21517986,way
"May Sartonstraat",wikidata,F,Q2587411,way
"Miriam Makebaplein",wikidata,F,Q146256,way
"Nadine Crappéstraat",wikidata,F,Q47458538,way
"Patricia Carsonstraat",wikidata,F,Q2262168,way
"Paula Marckxstraat",wikidata,F,Q96743247,way
"Pauline Van Pottelsberghelaan",wikidata,F,Q81559982,way
"Pierrette Cuelenaerestraat",wikidata,F,Q98446686,way
"Prinses Clementinalaan",wikidata,F,Q261129,way
"Raymonde de Larochelaan",wikidata,F,Q255315,way
"Regina de Meersmandreef",wikidata,F,Q77953166,way
"Regine Beerstraat",wikidata,F,Q2736161,way
"Rita Gorrstraat",wikidata,F,Q263379,way
"Rita Uyttendaelestraat",wikidata,F,Q98593798,way
"Roos Proesmansstraat",wikidata,F,Q70923223,way
"Rosa Geingerstraat",wikidata,F,Q2150668,way
"Roza Van De Voordestraat",wikidata,F,Q78678482,way
"Selma Lagerlöfstraat",wikidata,F,Q44519,way
"Sidonie Verhelststraat",wikidata,F,Q98556673,way
"Simone Duboisstraat",wikidata,F,Q28469694,way
"Simone Moulinpad",wikidata,F,Q98446710,way
"Simonne Verhellestraat",wikidata,F,Q98446670,way
Sint-Aldegondestraat,wikidata,F,Q271330,way
Sint-Amelbergastraat,wikidata,F,Q269344,way
Sint-Annaplein,wikidata,F,Q164294,way
Sint-Annastraat,wikidata,F,Q164294,way
Sint-Barbarastraat,wikidata,F,Q192816,way
Sint-Bernadettestraat,wikidata,F,Q55398,way
Sint-Clarastraat,wikidata,F,Q191107,way
Sint-Coletastraat,wikidata,F,Q768098,way
Sint-Dorotheastraat,wikidata,F,Q242274,way
Sint-Elisabethplein,wikidata,F,Q159862,way
Sint-Godelievestraat,wikidata,F,Q461908,way
Sint-Katelijnestraat,wikidata,F,Q179718,way
Sint-Margrietstraat,wikidata,F,Q297742,way
Sint-Theresiastraat,wikidata,F,Q174880,way
Sint-Veerleplein,wikidata,F,Q929800,way
"Sofie Schollstraat",wikidata,F,Q76972,way
"Sophie Van Akenstraat",wikidata,F,Q100256564,way
"Stephania Demoorpad",wikidata,F,Q98446653,way
"Suzanne Lilarstraat",wikidata,F,Q1924889,way
"Suzanne Tassierstraat",wikidata,F,Q18613190,way
"Vina Bovypark",wikidata,F,Q2481655,way
"Wilhelmina Druckerstraat",wikidata,F,Q462002,way
"Yvonne Desirantstraat",wikidata,F,Q21539797,way
"Yvonne Fontainestraat",wikidata,F,Q8062445,way
"Zoé Borluutbrug",wikidata,F,Q59848073,way
"Deborah Lambillottepad",wikidata,FX,Q107453180,way
"Abraham Voortmanstraat",wikidata,M,Q69508452,way
Abrahamstraat,wikidata,M,Q9181,way
"Achilles Heyndrickxlaan",wikidata,M,Q16068854,way
"Achilles Musschestraat",wikidata,M,Q2414646,way
Adalwinstraat,wikidata,M,Q457903,way
"Adolf Baeyensstraat",wikidata,M,Q46998636,way
"Adolf Daensstraat",wikidata,M,Q2142943,way
"Adolf Kervynstraat",wikidata,M,Q100271533,way
"Adolf Lootensstraat",wikidata,M,Q4722117,way
"Adolf Papeleupark",wikidata,M,Q94555061,way
"Adolf Petitstraat",wikidata,M,Q2141457,way
"Adolf Samuëlstraat",wikidata,M,Q365807,way
"Adolf Van Ooteghemstraat",wikidata,M,Q94556459,way
"Adolphe Della Faillelaan",wikidata,M,Q11303367,way
"Adolphe Pégoudlaan",wikidata,M,Q365814,way
"Adriaan Pietersstraat",wikidata,M,Q98462861,way
"Adriaan Walckiersdreef",wikidata,M,Q77797668,way
"Adrien De Gerlachestraat",wikidata,M,Q336591,way
"Albert Baertsoenkaai",wikidata,M,Q2830938,way
"Albert De Smetstraat",wikidata,M,Q98766686,way
"Albert Schweitzerstraat",wikidata,M,Q49325,way
"Albrecht Dürerlaan",wikidata,M,Q5580,way
"Albrecht Rodenbachstraat",wikidata,M,Q2497011,way
"Alexis Dallièrestraat",wikidata,M,Q16528524,way
"Alfons Biebuycklaan",wikidata,M,Q98374924,way
"Alfons Braeckmanlaan",wikidata,M,Q29409921,way
"Alfons Bynlaan",wikidata,M,Q77798866,way
"Alfons Minoodtlaan",wikidata,M,Q98766756,way
"Alfons Van den Broeckstraat",wikidata,M,Q98780773,way
"Alfred Vanderstegenlaan",wikidata,M,Q968453,way
"Aloïs Joosstraat",wikidata,M,Q98496937,way
"Aloïs Van de Vyverestraat",wikidata,M,Q14992,way
"Alphonse Claeys-Bouüaertdreef",wikidata,M,Q78456403,way
"Alphonse Claeys-Bouüaertlaan",wikidata,M,Q78456403,way
"Alphonse De Clercqlaan",wikidata,M,Q21455920,way
"Alphonse Sifferlaan",wikidata,M,Q2539969,way
"Alphonse de Hollainhof",wikidata,M,Q98529393,way
"Amand Casier de ter Bekenlaan",wikidata,M,Q11303523,way
"Ambroise Verschaffeltdreef",wikidata,M,Q458992,way
"André Denysbrug",wikidata,M,Q2599526,way
"André de Bruynestraat",wikidata,M,Q80308807,way
"Antoine Van Hoorebekehof",wikidata,M,Q100384922,way
"Antonius Triestlaan",wikidata,M,Q2149954,way
"Antoon Catriestraat",wikidata,M,Q21644988,way
"Antoon Sanderusstraat",wikidata,M,Q2131492,way
"Antoon van Dyckstraat",wikidata,M,Q150679,way
"Armand Bourdonlaan",wikidata,M,Q98530207,way
"Armand Heinsstraat",wikidata,M,Q16801281,way
"Armand Lonquestraat",wikidata,M,Q13430522,way
"Arthur Latourstraat",wikidata,M,Q66388101,way
"Arthur Van Laethemstraat",wikidata,M,Q99275181,way
"Arthur Verhaegenstraat",wikidata,M,Q2181828,way
"August Kekuléstraat",wikidata,M,Q76784,way
"August Sniedersstraat",wikidata,M,Q2192202,way
"August Van Bockxstaelestraat",wikidata,M,Q98929140,way
"August Van Lokerenstraat",wikidata,M,Q20155132,way
"August Vermeylenstraat",wikidata,M,Q764378,way
"August van Geertstraat",wikidata,M,Q5711538,way
"Auguste Van Ooststraat",wikidata,M,Q112126340,way
"Augustijn Moreelsstraat",wikidata,M,Q99275492,way
"Bernard Hamelinckstraat",wikidata,M,Q98929144,way
"Bernard Montgomerydreef",wikidata,M,Q152025,way
"Bernard Spaelaan",wikidata,M,Q69571517,way
"Bernard de Wildestraat",wikidata,M,Q2384173,way
"Bij Sint-Jacobs",wikidata,M,Q14517521;Q43999,way
"Bij Sint-Jozef",wikidata,M,Q128267,way
"Boudewijn van der Lorestraat",wikidata,M,Q20963459,way
Bressers-Blanchaertlaan,wikidata,M,Q87651848;Q100386336;Q27842300,way
"Burgemeester Williamehof",wikidata,M,Q4712371,way
"Camille D'havéstraat",wikidata,M,Q22236649,way
"Charles Andrieslaan",wikidata,M,Q12091;Q19988390,way
"Charles De Costerstraat",wikidata,M,Q315176,way
"Charles Doudeletstraat",wikidata,M,Q2282495,way
"Charles Van Lerbergheplein",wikidata,M,Q93871,way
"Charles de Kerchovelaan",wikidata,M,Q2400060,way
"Charles de l'Épéeplein",wikidata,M,Q860155,way
"Christiaan Van Der Heydenlaan",wikidata,M,Q98929159,way
"Christoffel Columbuslaan",wikidata,M,Q7322,way
"Constant Dosscheweg",wikidata,M,Q98594482,way
"Constant Montaldplein",wikidata,M,Q2994899,way
"Corneel Heymanslaan",wikidata,M,Q156482,way
"Cornelis Sneyssonestraat",wikidata,M,Q2138820,way
"Cornelis de Schepperestraat",wikidata,M,Q2296251,way
"Cristiaan Brosteauxstraat",wikidata,M,Q99276099,way
"Cyriel Buyssestraat",wikidata,M,Q628124,way
"Cyrille Van de Veegaetestraat",wikidata,M,Q101069086,way
"Daniël Kinetstraat",wikidata,M,Q4868900,way
"Daniël Mareskastraat",wikidata,M,Q55232702,way
"David 't Kindtplein",wikidata,M,Q5241499,way
"David Tenierslaan",wikidata,M,Q622729,way
"De Naeyerdreef",wikidata,M,Q721781,way
"Della Faillepark",wikidata,M,Q11303367,way
"Desiderius Erasmusstraat",wikidata,M,Q43499,way
"Désiré Fiévéstraat",wikidata,M,Q15304690,way
"Désiré Mercierlaan",wikidata,M,Q468097,way
"Désiré Mercierlaan - Kardinaal Mercierlaan",wikidata,M,Q468097,way
"Désiré Toeffaertstraat",wikidata,M,Q99520380,way
"Désiré Van Monckhovenstraat",wikidata,M,Q2275763,way
"Dokter Jean Vercouilliestraat - Jozef Vercoulliestraat",wikidata,M,Q19985969,way
"Domien Geersstraat",wikidata,M,Q1985738,way
"Domien Ingelsstraat",wikidata,M,Q2047896,way
"Domien de Waghemakerestraat",wikidata,M,Q17628998,way
"Ebergiste De Deynestraat",wikidata,M,Q70483973,way
"Edgard Blancquaertstraat",wikidata,M,Q18224979,way
"Edgard Tinelstraat",wikidata,M,Q377071,way
"Edmond Blockstraat",wikidata,M,Q99520837,way
"Edmond Boonenstraat",wikidata,M,Q99276786,way
"Edmond Helderweirdtstraat",wikidata,M,Q100278392,way
"Edmond Ronsestraat",wikidata,M,Q2207522,way
"Edmond Van Beverenplein",wikidata,M,Q61781054,way
"Edmond Van Hoorebekestraat",wikidata,M,Q98779238,way
