name,source,gender,wikidata,type
"'t Stuk",,,,way
A-wegel,,,,way
Aakstraat,,,,way
"Aan de Bocht",,,,way
"Aan de Linde",,,,way
"Aan de Ratte",,,,way
Aannemersstraat,,,,way
Abdijmolenstraat,,,,way
Abdisstraat,,,,way
Abeelstraat,,,,way
Absdalestraat,,,,way
Acaciapark,,,,way
Acaciastraat,,,,way
Academiebrug,,,,way
Academiestraat,,,,way
Achtene,,,,way
Achtenkouterstraat,,,,way
Achterdokkaai,,,,way
Achterdries,,,,way
Achterhekers,,,,way
Achterhekerspad,,,,way
Achterleie,,,,way
Achtermuide,,,,way
Achtersikkel,,,,way
Achterstraat,,,,way
Achtervisserij,,,,way
Adelaarsstraat,,,,way
Admiraaldreef,,,,way
Afsneedorp,,,,way
Afsneekouter,,,,way
Afsneekouterwegel,,,,way
Afsneemolenstraat,,,,way
Afsneesedijkweg,,,,way
Afsneestraat,,,,way
Ahornlaan,,,,way
Ajuinlei,,,,way
Ajuinmarktstraat,,,,way
Akkerhage,,,,way
Akkerstraat,,,,way
Albatrosstraat,,,,way
Alexianenplein,,,,way
Alisepad,,,,way
Alkstraat,,,,way
Alsemweg,,,,way
Amandelboomlaan,,,,way
Amaryllislaan,,,,way
Ambachtstraat,,,,way
Ambassadeursweg,,,,way
Amerikalaan,,,,way
Amsterdamstraat,,,,way
Anemoonstraat,,,,way
Ankerslaan,,,,way
Annonciadenstraat,,,,way
Antwerpenplein,,,,way
Antwerpsevoetweg,,,,way
Apostelhuizen,,,,way
Apotheekstraat,,,,way
Appelbrug,,,,way
Appelstraat,,,,way
Appelterrepad,,,,way
Arbedkaai,,,,way
"Armand Pienbrug",,,,way
Arsenaalstraat,,,,way
Asfilstraat,,,,way
Asselsekerkweg,,,,way
Asselsstraat,,,,way
Assenedestraat,,,,way
Asterdreef,,,,way
Athenastraat,,,,way
Atlantastraat,,,,way
Atletiekplein,,,,way
Augustijnenkaai,,,,way
Australiëstraat,,,,way
